num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea
7.0,0.09052631578947369,1.2921302241364458e-08,3.667194614852578e-08,2.88675951108061e-09,0.0005,2.509505374518204e-06
7.0,0.09526315789473684,2.1702386355957128e-08,3.866878612535566e-08,-3.22234862768138e-09,0.0005,2.622070604826001e-06
7.0,0.1,1.519465969743253e-08,3.675880073243717e-08,-4.381337200055138e-10,0.0005,2.509505272572811e-06
8.0,0.01,1.5143392941978092e-09,4.174906001334242e-08,-6.794469521356509e-10,0.0005,3.98749154264733e-06
8.0,0.01473684210526316,1.6479912581653536e-09,4.079160884962997e-08,-9.949781369123161e-10,0.0005,2.5906034902077784e-06
8.0,0.019473684210526317,1.721616530192871e-09,4.187832166858101e-08,3.4839274472317646e-10,0.0005,2.178353932723456e-06
8.0,0.024210526315789474,2.308340951805581e-09,4.022865158177996e-08,6.569193375262764e-11,0.0005,2.5142061592441005e-06
8.0,0.02894736842105263,5.727221175923868e-09,4.205542981721893e-08,1.532832519553567e-11,0.0005,3.905940007396914e-06
8.0,0.03368421052631579,4.2102534376222636e-09,4.1333036992584775e-08,-1.5825416339882549e-09,0.0005,2.8157872926134817e-06
8.0,0.03842105263157895,3.864794745905369e-09,4.226573803693942e-08,1.1117777741055251e-11,0.0005,2.338706367955505e-06
8.0,0.04315789473684211,4.301533159477959e-09,4.029410168634754e-08,2.3356872393127433e-10,0.0005,2.178354001995392e-06
8.0,0.04789473684210527,4.170764852403518e-09,4.3841813329116855e-08,1.0532717076980012e-09,0.0005,2.514206047353282e-06
8.0,0.052631578947368425,1.1105738979010843e-08,4.29704758702366e-08,-7.85239432178027e-10,0.0005,3.399288976801815e-06
8.0,0.05736842105263158,3.902795586641204e-09,4.1815945618013166e-08,-2.9148034742642888e-09,0.0005,2.0343214209490796e-06
8.0,0.06210526315789474,9.189151968551608e-09,4.117794795890665e-08,-1.8008690534345084e-09,0.0005,2.426003571338441e-06
8.0,0.0668421052631579,1.753440398035083e-08,4.262035106802417e-08,5.938202216418301e-10,0.0005,4.073343702857027e-06
